;Runden_gesamt;Don;Flo;Gero;Marco;Toni;Juergen;Frind;Majo;Domi;Elias;Tobi;;;;;;;;;;
29.5.;436;0;1;;0;0;;;;;;;;;;;;;;;;
29.5.;437;1;0;;0;0;;;;;;;;;;;;;;;;
29.5.;438;0;0;;0;1;;;;;;;;;;;;;;;;
29.5.;439;1;0;;0;0;;;;;;;;;;;;;;;;
29.5.;440;0;0;;0;1;;;;;;;;;;;;;;;;
29.5.;441;1;0;;0;0;;;;;;;;;;;;;;;;
29.5.;442;0;0;;0;1;;;;;;;;;;;;;;;;
29.5.;443;1;0;;0;0;;;;;;;;;;;;;;;;
29.5.;444;0;0;;0;1;;;;;;;;;;;;;;;;
29.5.;445;0;0;;1;0;;;;;;;;;;;;;;;;
29.5.;446;0;0;;0;1;;;;;;;;;;;;;;;;
29.5.;447;1;0;;0;0;;;;;;;;;;;;;;;;
29.5.;448;0;0;;0;1;;;;;;;;;;;;;;;;
18.6.;449;0;;0;;1;;;;;;;;;;;;;;;;
18.6.;450;0;;1;;0;;;;;;;;;;;;;;;;
18.6.;451;0;;2;;2;;;;;;;;;;;;;;;;
18.6.;452;1;;0;;0;;;;;;;;;;;;;;;;
18.6.;453;1;;0;;0;;;;;;;;;;;;;;;;
18.6.;454;1;;0;;0;;;;;;;;;;;;;;;;
25.6.;455;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;456;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;457;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;458;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;459;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;460;0;;;2;2;;;;;;;;;;;;;;;;
25.6.;461;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;462;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;463;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;464;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;465;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;466;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;467;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;468;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;469;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;470;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;471;0;;;2;2;;;;;;;;;;;;;;;;
25.6.;472;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;473;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;474;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;475;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;476;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;477;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;478;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;479;0;;;0;1;;;;;;;;;;;;;;;;
25.6.;480;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;481;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;482;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;483;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;484;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;485;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;486;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;487;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;488;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;489;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;490;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;491;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;492;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;493;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;494;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;495;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;496;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;497;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;498;1;;;0;0;;;;;;;;;;;;;;;;
25.6.;499;0;;;1;0;;;;;;;;;;;;;;;;
25.6.;500;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;501;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;502;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;503;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;504;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;505;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;506;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;507;2;;;0;2;;;;;;;;;;;;;;;;
11.7.;508;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;509;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;510;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;511;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;512;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;513;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;514;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;515;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;516;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;517;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;518;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;519;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;520;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;521;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;522;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;523;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;524;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;525;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;526;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;527;0;;;2;2;;;;;;;;;;;;;;;;
11.7.;528;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;529;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;530;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;531;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;532;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;533;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;534;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;535;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;536;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;537;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;538;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;539;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;540;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;541;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;542;0;;;0;1;;;;;;;;;;;;;;;;
11.7.;543;0;;;1;0;;;;;;;;;;;;;;;;
11.7.;544;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;545;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;546;1;;;0;0;;;;;;;;;;;;;;;;
11.7.;547;1;;;0;0;;;;;;;;;;;;;;;;
18.07.;548;0;0;0;;1;;;;;;;;;;;;;;;;
18.07.;549;0;1;0;;0;;;;;;;;;;;;;;;;
18.07.;550;0;1;0;;0;;;;;;;;;;;;;;;;
18.07.;551;1;0;0;;0;;;;;;;;;;;;;;;;
18.07.;552;0;0;1;;0;;;;;;;;;;;;;;;;
18.07.;553;0;0;0;0;1;;;;;;;;;;;;;;;;
18.07.;554;0;0;0;1;0;;;;;;;;;;;;;;;;
18.07.;555;0;0;0;0;1;;;;;;;;;;;;;;;;
18.07.;556;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;557;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;558;0;0;1;0;0;;;;;;;;;;;;;;;;
18.07.;559;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;560;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;561;0;0;0;0;1;;;;;;;;;;;;;;;;
18.07.;562;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;563;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;564;0;0;0;2;2;;;;;;;;;;;;;;;;
18.07.;565;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;566;0;0;1;0;0;;;;;;;;;;;;;;;;
18.07.;567;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;568;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;569;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;570;0;0;0;1;0;;;;;;;;;;;;;;;;
18.07.;571;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;572;0;0;0;0;1;;;;;;;;;;;;;;;;
18.07.;573;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;574;0;0;0;1;0;;;;;;;;;;;;;;;;
18.07.;575;0;0;0;0;1;;;;;;;;;;;;;;;;
18.07.;576;0;0;1;0;0;;;;;;;;;;;;;;;;
18.07.;577;0;0;0;0;1;;;;;;;;;;;;;;;;
18.07.;578;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;579;0;0;1;0;0;;;;;;;;;;;;;;;;
18.07.;580;0;1;0;0;0;;;;;;;;;;;;;;;;
18.07.;581;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;582;1;0;0;0;0;;;;;;;;;;;;;;;;
18.07.;583;0;0;2;2;0;;;;;;;;;;;;;;;;
01.08.;584;;0;1;0;0;;;;;;;;;;;;;;;;
01.08.;585;;0;0;1;0;;;;;;;;;;;;;;;;
01.08.;586;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;587;;1;0;0;0;;;;;;;;;;;;;;;;
01.08.;588;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;589;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;590;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;591;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;592;;0;1;0;0;;;;;;;;;;;;;;;;
01.08.;593;;0;1;0;0;;;;;;;;;;;;;;;;
01.08.;594;;1;0;0;0;;;;;;;;;;;;;;;;
01.08.;595;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;596;;0;0;0;1;;;;;;;;;;;;;;;;
01.08.;597;;0;1;0;0;;;;;;;;;;;;;;;;
01.08.;598;;1;0;0;0;;;;;;;;;;;;;;;;
01.08.;599;;0;1;0;0;;;;;;;;;;;;;;;;
01.08.;600;;0;0;1;0;;;;;;;;;;;;;;;;
01.08.;601;;0;0;1;0;;;;;;;;;;;;;;;;
01.08.;602;;1;0;0;0;;;;;;;;;;;;;;;;
01.08.;603;;1;0;0;0;;;;;;;;;;;;;;;;
01.08.;604;;1;0;0;0;;;;;;;;;;;;;;;;
01.08.;605;;1;0;0;0;;;;;;;;;;;;;;;;
14.08.;606;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;607;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;608;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;609;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;610;0;;;2;2;;;;;;;;;;;;;;;;
14.08.;611;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;612;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;613;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;614;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;615;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;616;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;617;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;618;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;619;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;620;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;621;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;622;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;623;2;;;2;0;;;;;;;;;;;;;;;;
14.08.;624;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;625;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;626;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;627;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;628;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;629;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;630;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;631;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;632;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;633;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;634;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;635;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;636;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;637;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;638;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;639;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;640;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;641;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;642;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;643;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;644;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;645;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;646;2;;;2;0;;;;;;;;;;;;;;;;
14.08.;647;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;648;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;649;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;650;0;;;0;1;;;;;;;;;;;;;;;;
14.08.;651;1;;;0;0;;;;;;;;;;;;;;;;
14.08.;652;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;653;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;654;0;;;1;0;;;;;;;;;;;;;;;;
14.08.;655;0;;;1;0;;;;;;;;;;;;;;;;
15.08.;656;1;0;0;0;0;;;;;;;;;;;;;;;;
15.08.;657;1;0;0;0;0;;;;;;;;;;;;;;;;
15.08.;658;0;1;0;0;0;;;;;;;;;;;;;;;;
15.08.;659;1;0;0;0;0;;;;;;;;;;;;;;;;
15.08.;660;1;0;0;0;0;;;;;;;;;;;;;;;;
15.08.;661;1;0;0;0;0;;;;;;;;;;;;;;;;
22.08.;662;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;663;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;664;0;0;1;0;0;;0;;;;;;;;;;;;;;
22.08.;665;0;0;0;0;1;;0;;;;;;;;;;;;;;
22.08.;666;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;667;1;0;0;0;0;;0;;;;;;;;;;;;;;
22.08.;668;0;0;0;0;1;;0;;;;;;;;;;;;;;
22.08.;669;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;670;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;671;0;0;0;0;1;;0;;;;;;;;;;;;;;
22.08.;672;0;0;1;0;0;;0;;;;;;;;;;;;;;
22.08.;673;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;674;0;0;0;0;1;;0;;;;;;;;;;;;;;
22.08.;675;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;676;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;677;0;0;0;1;0;;0;;;;;;;;;;;;;;
22.08.;678;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;679;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;680;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;681;1;0;0;0;0;;0;;;;;;;;;;;;;;
22.08.;682;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;683;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;684;0;0;0;0;1;;0;;;;;;;;;;;;;;
22.08.;685;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;686;0;1;0;0;0;;0;;;;;;;;;;;;;;
22.08.;687;1;0;0;0;0;;0;;;;;;;;;;;;;;
22.08.;688;0;0;0;0;0;;1;;;;;;;;;;;;;;
22.08.;689;0;0;0;1;0;;0;;;;;;;;;;;;;;
22.08.;690;0;0;0;0;1;;0;;;;;;;;;;;;;;
22.08.;691;1;0;0;0;0;;0;;;;;;;;;;;;;;
04.09.;692;;;1;0;;;;0;0;;;;;Notiz:;Daten;sind;f�lschlicherweise;geordnet;;;
04.09.;693;;;1;0;;;;0;0;;;;;;;;;;;;
04.09.;694;;;1;0;;;;0;0;;;;;;;;;;;;
04.09.;695;;;0;1;;;;0;0;;;;;;;;;;;;
04.09.;696;;;0;1;;;;0;0;;;;;;;;;;;;
04.09.;697;;;0;1;;;;0;0;;;;;;;;;;;;
04.09.;698;;;0;1;;;;0;0;;;;;;;;;;;;
04.09.;699;;;0;1;;;;0;0;;;;;;;;;;;;
04.09.;700;;;0;0;;;;1;0;;;;;;;;;;;;
04.09.;701;;;0;0;;;;1;0;;;;;;;;;;;;
04.09.;702;;;0;0;;;;1;0;;;;;;;;;;;;
04.09.;703;;;0;0;;;;1;0;;;;;;;;;;;;
04.09.;704;;;0;0;;;;0;1;;;;;;;;;;;;
04.09.;705;;;0;0;;;;0;1;;;;;;;;;;;;
04.09.;706;;;0;0;;;;0;1;;;;;;;;;;;;
04.09.;707;;;0;0;;;;0;1;;;;;;;;;;;;
04.09.;708;;;2;2;;;;0;0;;;;;;;;;;;;
04.09.;709;;;1;0;;;;0;0;;;;;;;;;;;;
04.09.;710;;;0;1;;;;0;0;;;;;;;;;;;;
04.09.;711;;;0;0;;;;0;1;;;;;;;;;;;;
04.09.;712;;;0;0;;;;0;1;;;;;;;;;;;;
12.09.;713;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;714;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;715;0;;;0;0;;1;;;;;;;;;;;;;;
12.09.;716;0;;;0;0;;1;;;;;;;;;;;;;;
12.09.;717;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;718;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;719;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;720;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;721;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;722;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;723;0;;;0;2;;2;;;;;;;;;;;;;;
12.09.;724;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;725;0;;;0;0;;1;;;;;;;;;;;;;;
12.09.;726;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;727;2;;;0;0;;2;;;;;;;;;;;;;;
12.09.;728;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;729;1;;;0;0;;0;;;;;;;;;;;;;;
12.09.;730;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;731;0;;;0;1;;0;;;;;;;;;;;;;;
12.09.;732;0;;;0;0;;1;;;;;;;Notiz:;Datei;vom;20.09.;leider;nicht;mehr;vorhanden!
02.10.;733;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;734;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;735;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;736;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;737;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;738;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;739;0;;;0;0;;1;;;;;;;;;;;;;;
02.10.;740;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;741;0;;;0;1;;0;;;;;;;;;;;;;;
02.10.;742;0;;;2;0;;2;;;;;;;;;;;;;;
02.10.;743;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;744;0;;;0;0;;1;;;;;;;;;;;;;;
02.10.;745;0;;;0;1;;0;;;;;;;;;;;;;;
02.10.;746;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;747;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;748;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;749;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;750;0;;;1;0;;0;;;;;;;;;;;;;;
02.10.;751;1;;;0;0;;0;;;;;;;;;;;;;;
02.10.;752;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;753;2;;;0;0;;2;;;;;;;;;;;;;;
03.10.;754;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;755;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;756;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;757;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;758;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;759;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;760;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;761;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;762;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;763;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;764;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;765;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;766;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;767;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;768;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;769;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;770;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;771;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;772;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;773;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;774;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;775;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;776;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;777;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;778;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;779;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;780;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;781;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;782;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;783;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;784;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;785;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;786;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;787;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;788;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;789;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;790;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;791;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;792;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;793;1;;;0;0;;0;;;;;;;;;;;;;;
03.10.;794;0;;;2;2;;0;;;;;;;;;;;;;;
03.10.;795;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;796;0;;;1;0;;0;;;;;;;;;;;;;;
03.10.;797;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;798;0;;;2;2;;0;;;;;;;;;;;;;;
03.10.;799;0;;;0;0;;1;;;;;;;;;;;;;;
03.10.;800;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;801;0;;;0;1;;0;;;;;;;;;;;;;;
03.10.;802;1;;;0;0;;0;;;;;;;;;;;;;;
30.10.;803;1;;;0;0;;0;;;;;;;;;;;;;;
30.10.;804;0;;;0;0;;1;;;;;;;;;;;;;;
30.10.;805;0;;;0;1;;0;;;;;;;;;;;;;;
30.10.;806;0;;;0;0;;1;;;;;;;;;;;;;;
30.10.;807;0;;;0;1;;0;;;;;;;;;;;;;;
30.10.;808;0;1;0;0;;;;;;;;;;;;;;;;;
30.10.;809;0;0;1;0;;;;;;;;;;;;;;;;;
30.10.;810;0;1;0;0;;;;;;;;;;;;;;;;;
30.10.;811;1;0;0;0;;;;;;;;;;;;;;;;;
30.10.;812;1;0;0;0;;;;;;;;;;;;;;;;;
30.10.;813;;;0;0;0;;1;;;;;;;;;;;;;;
30.10.;814;;;1;0;0;;0;;;;;;;;;;;;;;
30.10.;815;;;1;0;0;;0;;;;;;;;;;;;;;
30.10.;816;;;0;0;1;;0;;;;;;;;;;;;;;
30.10.;817;;;0;0;1;;0;;;;;;;;;;;;;;
30.10.;818;0;0;;1;;;0;;;;;;;;;;;;;;
30.10.;819;0;0;;0;;;1;;;;;;;;;;;;;;
30.10.;820;0;0;;1;;;0;;;;;;;;;;;;;;
30.10.;821;0;0;;0;;;1;;;;;;;;;;;;;;
30.10.;822;0;0;;0;;;1;;;;;;;;;;;;;;
30.10.;823;0;1;;0;0;;;;;;;;;;;;;;;;
30.10.;824;0;1;;0;0;;;;;;;;;;;;;;;;
30.10.;825;0;1;;0;0;;;;;;;;;;;;;;;;
30.10.;826;1;0;;0;0;;;;;;;;;;;;;;;;
30.10.;827;0;0;;0;1;;;;;;;;;;;;;;;;
30.10.;828;0;;0;;0;;1;;;;;;;;;;;;;;
30.10.;829;0;;1;;0;;0;;;;;;;;;;;;;;
30.10.;830;0;;0;;1;;0;;;;;;;;;;;;;;
30.10.;831;0;;0;;1;;0;;;;;;;;;;;;;;
30.10.;832;1;;0;;0;;0;;;;;;;;;;;;;;
30.10.;833;0;;1;0;;;0;;;;;;;;;;;;;;
30.10.;834;0;;1;0;;;0;;;;;;;;;;;;;;
30.10.;835;0;;0;1;;;0;;;;;;;;;;;;;;
30.10.;836;0;;0;1;;;0;;;;;;;;;;;;;;
30.10.;837;0;;0;0;;;1;;;;;;;;;;;;;;
30.10.;838;1;;0;;0;;0;;;;;;;;;;;;;;
30.10.;839;0;;0;;0;;1;;;;;;;;;;;;;;
30.10.;840;0;;0;;1;;0;;;;;;;;;;;;;;
30.10.;841;0;;0;;0;;1;;;;;;;;;;;;;;
30.10.;842;1;;0;;0;;0;;;;;;;;;;;;;;
31.10.;843;0;1;;;0;;;;;;;;;;;;;;;;
31.10.;844;0;0;;1;0;;;;;;;;;;;;;;;;
31.10.;845;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;846;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;847;0;0;;0;1;;;;;;;;;;;;;;;;
31.10.;848;0;0;;0;1;;;;;;;;;;;;;;;;
31.10.;849;0;0;;1;0;;;;;;;;;;;;;;;;
31.10.;850;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;851;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;852;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;853;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;854;0;0;;0;1;;;;;;;;;;;;;;;;
31.10.;855;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;856;0;1;;0;0;;;;;;;;;;;;;;;;
31.10.;857;1;0;;0;0;;;;;;;;;;;;;;;;
31.10.;858;1;0;;0;0;;;;;;;;;;;;;;;;
07.11.;859;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;860;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;861;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;862;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;863;0;0;1;0;0;;;;;;;;;;;;;;;;
07.11.;864;0;0;1;0;0;;;;;;;;;;;;;;;;
07.11.;865;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;866;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;867;0;0;0;0;1;;;;;;;;;;;;;;;;
07.11.;868;0;1;0;0;0;;;;;;;;;;;;;;;;
07.11.;869;1;0;0;0;0;;;;;;;;;;;;;;;;
07.11.;870;0;0;0;0;1;;;;;;;;;;;;;;;;
